name,price,categories,inStock,description
Chlorophytum Comosum,₹849.50,"Indoor,Hanging,Air Purifying,Pet Safe",true,Spider plant with green and white striped leaves.
Sansevieria Trifasciata,₹1549.50,"Indoor,Low Light,Air Purifying,Pet Safe",true,Snake plant with tall upright leaves. Virtually indestructible.
Crassula Ovata,₹999.50,"Succulent,Indoor,Small,Pet Safe",true,Jade plant with thick glossy leaves. Brings good fortune.
Monstera Adansonii,₹1799.50,"Indoor,Hanging",true,Swiss cheese vine with fenestrated leaves. Perfect for hanging.
Philodendron Micans,₹1399.50,"Indoor,Hanging",true,Velvet leaf philodendron with soft fuzzy leaves.
Calathea Medallion,₹1649.50,"Indoor,Low Light",true,Stunning round leaves with intricate patterns. Prayer plant family.
Pachira Aquatica,₹2249.50,"Indoor,Large",true,Money tree with braided trunk and palm-like leaves.
Dracaena Fragrans,₹1899.50,"Indoor,Large,Air Purifying",true,Corn plant with tall cane-like stems and broad leaves.
Ficus Elastica,₹2649.50,"Indoor,Large,Air Purifying",true,Rubber plant with large glossy burgundy leaves.
Begonia Rex,₹1249.50,"Indoor,Small",true,Colorful foliage begonia with intricate leaf patterns.
Peperomia Caperata,₹799.50,"Indoor,Small",true,Ripple peperomia with textured heart-shaped leaves.
Alocasia Polly,₹2349.50,"Indoor,Large",false,Elephant ear with dramatic arrow-shaped leaves.
Syngonium Podophyllum,₹1349.50,"Indoor,Hanging",true,Arrowhead vine with arrow-shaped leaves. Easy to grow.
Zamioculcas Zamiifolia,₹2049.50,"Indoor,Low Light,Pet Safe",true,ZZ plant with glossy compound leaves. Ultra-low maintenance.
Philodendron Scandens,₹1199.50,"Indoor,Hanging,Air Purifying",true,Heartleaf philodendron with classic heart-shaped leaves.
Spathiphyllum,₹1599.50,"Indoor,Flowering,Air Purifying,Low Light",true,Peace lily with elegant white flowers and glossy leaves.
